iter:  600.0 , lambda:  1 , alpha:  0.0 , kernel: rbf method:  cobyla , catol:  0.0001 batches:  100
x_init:  [1.58421131e-05 8.46499331e-04 8.32054085e-04 ... 2.17477247e-04
 1.04969509e-04 6.60110882e-04]
loss:  -1.8465479029983518
loss:  -0.5697725847079105
loss:  -0.5806581516181022
loss:  -0.557493393953632
loss:  -0.6002557134422357
loss:  -0.5926602888842143
loss:  -0.6336718115091564
loss:  -0.5691956367684328
loss:  -4.035787747456305
loss:  -4.532144824805073
loss:  -4.197055442092649
loss:  -5.034553821873658
loss:  -4.739749951604394
loss:  -4.652444969162236
loss:  -4.6427119999979745
loss:  -4.644225559631952
loss:  -6.278153374793712
loss:  -7.023228400846605
loss:  -6.885622643224888
loss:  -6.678741729591562
loss:  -6.64005850124705
loss:  -6.681357974764699
loss:  -7.51569116035073
loss:  -8.011483496092222
loss:  -7.653749845333632
loss:  -7.741693441342767
loss:  -9.209389868099795
loss:  -9.726040748020967
loss:  -10.816774379809576
loss:  -11.622543314719232
loss:  -11.091610297158923
loss:  -11.509975108988344
loss:  -11.268525490939165
loss:  -11.02119442279752
loss:  -11.641559426400288
loss:  -12.123496522171259
loss:  -11.73866275346803
loss:  -10.76116848799435
loss:  -14.111931838262857
loss:  -13.757245634105729
loss:  -14.574173765923009
loss:  -14.267721996259509
loss:  -13.981679408200073
loss:  -14.158951370248616
loss:  -14.543230436195383
loss:  -14.783094702880728
loss:  -13.58458116215871
loss:  -13.520696668566655
loss:  -13.583862019592264
loss:  -13.565414816986614
loss:  -13.537774558669147
loss:  -13.584972884560301
loss:  -13.539246071973224
loss:  -13.867208514991134
loss:  -16.938271503698765
loss:  -17.90148472049763
loss:  -18.397380716810854
loss:  -19.153626577739146
loss:  -18.896134982694736
loss:  -18.922530977446606
loss:  -18.665242546984636
loss:  -19.630861949366796
loss:  -19.60585768826383
loss:  -19.5034758624751
loss:  -19.756937371319257
loss:  -21.811746434732946
loss:  -22.30252802984443
loss:  -22.151059867200804
loss:  -22.15021790000413
loss:  -22.19425337609766
loss:  -22.046811925595044
loss:  -22.163480592278987
loss:  -21.946788663296882
loss:  -22.30764105850636
loss:  -21.182278279071475
loss:  -21.22126636229484
loss:  -23.350971402403395
loss:  -25.47490841752322
loss:  -25.642813298882327
loss:  -24.93106769736585
loss:  -24.658934664863768
loss:  -24.627215035234748
loss:  -27.65043021630521
loss:  -27.137994313083595
loss:  -27.639218547790833
loss:  -27.628158142124793
loss:  -28.152142657948396
loss:  -28.17721852406128
loss:  -27.195229132614017
loss:  -27.22168200634502
loss:  -27.286018944674808
loss:  -27.18324145220634
loss:  -30.168432622183953
loss:  -31.144177307512273
loss:  -32.10125266752736
loss:  -33.056112820479456
loss:  -34.15642339020031
loss:  -34.21572898437741
loss:  -33.35776310769578
loss:  -33.34461452528072
loss:  -33.43193400791526
loss:  -33.482820993696095
loss:  -33.33881441539636
loss:  -36.13860094070043
loss:  -36.21656514079897
loss:  -35.325598915726125
loss:  -35.31439414892035
loss:  -35.36294687965284
loss:  -35.34936668363416
loss:  -35.37522470280523
loss:  -35.38590523508511
loss:  -35.338119959181356
loss:  -35.7053627823786
loss:  -35.31431304516704
loss:  -35.41029499581422
loss:  -35.360912063680544
loss:  -35.32089876179941
loss:  -35.3745401781577
loss:  -35.32684346888947
loss:  -35.339248017774764
loss:  -35.33381946443487
loss:  -35.324994132380745
loss:  -35.3064634757063
loss:  -38.00282665025329
loss:  -37.92776148966811
loss:  -38.0662201528881
loss:  -37.243842944551574
loss:  -37.179141349228864
loss:  -37.22923956331044
loss:  -37.810457149315084
loss:  -37.2901833298648
loss:  -37.256423267208575
loss:  -37.247380481349836
loss:  -37.132809129873166
loss:  -37.318282753051946
loss:  -37.97786047790778
loss:  -37.16955658798631
loss:  -37.70329588795396
loss:  -37.95720400125205
loss:  -37.212797128506615
loss:  -37.256246982744855
loss:  -39.97495735555762
loss:  -40.13102032094148
loss:  -39.268764285369386
loss:  -39.58402639357126
loss:  -39.260267702490104
loss:  -39.23589808287166
loss:  -39.31081469600278
loss:  -39.32335267225686
loss:  -39.300473651403316
loss:  -39.19150737195125
loss:  -41.97676865769865
loss:  -42.1361808017118
loss:  -41.234205844893964
loss:  -43.945347336372485
loss:  -44.04884892170796
loss:  -43.50739313529119
loss:  -43.44727535859161
loss:  -43.343166083139835
loss:  -43.44227529117052
loss:  -43.434768896659826
loss:  -43.285668775593436
loss:  -43.191412977546356
loss:  -43.387514927954186
loss:  -43.33510817665027
loss:  -43.28109780830635
loss:  -43.27640565376752
loss:  -44.525265793263664
loss:  -43.81155392989819
loss:  -43.89672286349614
loss:  -43.792287340074
loss:  -43.746865015980305
loss:  -43.86300620280888
loss:  -43.711810699241916
loss:  -46.254596028706914
loss:  -46.511425189007824
loss:  -48.10845443495974
loss:  -48.35186439616179
loss:  -47.58735025940855
loss:  -50.12954234433797
loss:  -50.3531227739575
loss:  -49.436330211255665
loss:  -49.588002693377355
loss:  -49.54041006812739
loss:  -49.42876559552286
loss:  -49.49485237336712
loss:  -49.55526046006313
loss:  -49.58495286247052
loss:  -52.122677971481515
loss:  -52.19708912874873
loss:  -51.40950014855557
loss:  -51.374509315672455
loss:  -51.39040977207093
loss:  -51.667153587162986
loss:  -51.19606523953867
loss:  -53.915112312243515
loss:  -54.112761200427975
loss:  -55.0975613155412
loss:  -54.382747484960944
loss:  -54.202326840484105
loss:  -54.1812422586615
loss:  -54.463645784983456
loss:  -54.18716742239028
loss:  -54.23562023076606
loss:  -53.971493123456554
loss:  -56.83539625564012
loss:  -56.62978339649291
loss:  -57.027582811596844
loss:  -56.382163792543295
loss:  -56.08701403489862
loss:  -56.02454403076787
loss:  -56.20785115074209
loss:  -58.82861572384691
loss:  -60.30995138455712
loss:  -60.50775642409883
loss:  -59.6368523105179
loss:  -59.742726784495204
loss:  -62.34725306139944
loss:  -62.37016376437478
loss:  -62.55767752865071
loss:  -64.3287411401094
loss:  -64.30608778234192
loss:  -64.79688739828063
loss:  -65.00753638922907
loss:  -64.10509362103957
loss:  -64.21386137456915
loss:  -66.60640082218337
loss:  -66.6969012377463
loss:  -65.9546567180963
loss:  -65.8633186274642
loss:  -65.82799972105597
loss:  -65.91900712663393
loss:  -65.86497180717531
loss:  -65.52623121604933
loss:  -65.91269939676465
loss:  -65.91609897614853
loss:  -65.87703585992091
loss:  -67.24924860786902
loss:  -68.65379858963118
loss:  -68.74973771758737
loss:  -67.84622950330926
loss:  -68.03411404198184
loss:  -67.9181978813821
loss:  -68.30269843073353
loss:  -67.58454002634066
loss:  -67.5658602614946
loss:  -68.14252229968854
loss:  -67.67338691824146
loss:  -68.34235600391877
loss:  -67.8746964630591
loss:  -67.93012520899592
loss:  -68.29927965047976
loss:  -68.38645675564432
loss:  -67.65283303782547
loss:  -70.49674333170654
loss:  -71.06157548539218
loss:  -69.85468243315023
loss:  -69.89085277628784
loss:  -70.14726638129873
loss:  -72.54003881299172
loss:  -72.66811376734469
loss:  -71.81236074626585
loss:  -74.47850770555192
loss:  -74.89504090578751
loss:  -74.09167647237581
loss:  -74.19027627611867
loss:  -76.40960364987411
loss:  -76.9050882809614
loss:  -77.08757892104173
loss:  -76.56949589970546
loss:  -76.17435087136212
loss:  -76.40338128839927
loss:  -76.44450432495269
loss:  -76.38293277795457
loss:  -78.88922658439913
loss:  -79.69652848508929
loss:  -80.89213928521102
loss:  -80.35580410193009
loss:  -80.39076311302603
loss:  -81.76366528272911
loss:  -83.00899895575883
loss:  -83.14791478777384
loss:  -84.51919569634622
loss:  -85.4007265046325
loss:  -86.50983768716284
loss:  -87.39615605721099
loss:  -88.46253956562249
loss:  -87.94314281145768
loss:  -88.15689231255973
loss:  -89.38419028387936
loss:  -90.58071619995224
loss:  -90.28967174148094
loss:  -90.73808080128244
loss:  -89.76510294574615
loss:  -89.98500941229491
loss:  -89.70507960659567
loss:  -91.11902747864113
loss:  -91.07201916751117
loss:  -92.84947222515287
loss:  -92.91787350060872
loss:  -92.40885904494598
loss:  -94.56369983271074
loss:  -94.08328421607916
loss:  -95.05364639619945
loss:  -95.82691930466316
loss:  -96.36924600694948
loss:  -96.31764301975647
loss:  -97.31350672534364
loss:  -98.33592941208505
loss:  -97.80321829320856
loss:  -98.65671374673805
loss:  -97.92410498668421
loss:  -100.35577551106806
loss:  -100.30169363509886
loss:  -100.38152870806539
loss:  -99.33435908740267
loss:  -98.88379611958757
loss:  -99.51082412941507
