iter:  900.0 , lambda:  1 , alpha:  0.5555555555555556 , kernel: rbf method:  cobyla , catol:  0.0001 batches:  100
x_init:  [5.34831976e-04 2.44916860e-05 5.33009429e-04 ... 9.88079654e-04
 9.91405308e-04 8.51869235e-04]
loss:  1098.37270234663
loss:  1171.7406781234647
loss:  1170.1213667402972
loss:  1174.2250469296694
loss:  1161.89854165282
loss:  1168.0790659670745
loss:  1179.231534961275
loss:  1180.4244299244806
loss:  1133.6536070673687
loss:  1099.4849685974739
loss:  1178.8904735439414
loss:  1099.7135298155883
loss:  1180.1545170018355
loss:  1163.220535834724
loss:  1155.3508420665917
loss:  1173.6687153530936
loss:  1138.9961292427051
loss:  1180.0048400087467
loss:  1175.8972480335592
loss:  1181.354819428516
loss:  1176.2278437516193
loss:  1178.8470641707931
loss:  1101.0793233268644
loss:  1097.9625487462927
loss:  1176.9315015026025
loss:  1179.1460514989433
loss:  1134.018063797649
loss:  1173.0694048890512
loss:  1133.1889642354226
loss:  1178.8471842781898
loss:  1161.0063552927613
loss:  1163.6598697380853
loss:  1172.3699948286617
loss:  1167.0201668224297
loss:  1160.9398045989901
loss:  1109.11299419008
loss:  1099.2770647628136
loss:  1167.8104477973789
loss:  1124.3546736435883
loss:  1177.2884519499523
loss:  1106.8755776634002
loss:  1178.3351319873202
loss:  1154.3044802353174
loss:  1163.8761674264165
loss:  1182.9245464955075
loss:  1178.9898620192064
loss:  1175.0299030435526
loss:  1166.3407828941902
loss:  1175.0895840780206
loss:  1151.6041292132559
loss:  1174.174655778508
loss:  1179.4373841436445
loss:  1174.7747947371681
loss:  1175.6504448701264
loss:  1145.8842548349332
loss:  1124.4675933732108
loss:  1100.0373676005327
loss:  1172.5343505783358
loss:  1177.739702165122
loss:  1180.4476944877258
loss:  1143.5244612814047
loss:  1103.356739709499
loss:  1098.3671759015015
loss:  1172.8090027435292
loss:  1174.2729190733623
loss:  1132.5276341989215
loss:  1098.6582186771257
loss:  1178.9108849716843
loss:  1179.0156484816832
loss:  1179.2340126594056
loss:  1173.092171235638
loss:  1178.9975236981988
loss:  1164.4613385706186
loss:  1173.5755372289088
loss:  1174.213346167279
loss:  1177.4699628128246
loss:  1102.4954298294936
loss:  1145.7453512203854
loss:  1181.0483019033827
loss:  1172.2903058310017
loss:  1178.3119218689387
loss:  1176.2834208846823
loss:  1142.1887371164198
loss:  1108.882298308587
loss:  1178.9785992368481
loss:  1179.086716219698
loss:  1099.6830736437003
loss:  1177.757704157005
loss:  1177.9852330006413
loss:  1176.7734431202134
loss:  1171.9600755756614
loss:  1179.067426053435
loss:  1139.2573411671349
loss:  1145.0076990862979
loss:  1179.8407787171684
loss:  1142.1981144994052
loss:  1174.3061715342742
loss:  1174.5432968794173
loss:  1178.0034176834572
loss:  1178.6507107435782
loss:  1178.9715147365043
loss:  1162.3910388472743
loss:  1178.3854113785533
loss:  1124.177445781228
loss:  1168.346508924043
loss:  1179.0810833710218
loss:  1152.898147432019
loss:  1179.0182247224798
loss:  1178.8186586843542
loss:  1182.3642102557124
loss:  1172.534089818082
loss:  1177.1777682921947
loss:  1109.0959844640122
loss:  1174.1567625721277
loss:  1172.8444050394776
loss:  1171.7370556476758
loss:  1178.1472291861555
loss:  1178.2771959256108
loss:  1171.3036867048227
loss:  1178.971227140841
loss:  1168.4039089961182
loss:  1166.4689974144944
loss:  1171.459297826253
loss:  1133.7438982017948
loss:  1148.3044159554834
loss:  1177.1659022220226
loss:  1182.3350724670784
loss:  1178.9913388019702
loss:  1175.3958357647775
loss:  1165.1637614360188
loss:  1171.220193416381
loss:  1160.901066386368
loss:  1161.646879128953
loss:  1164.989061358594
loss:  1182.9489486480866
loss:  1111.1522512477438
loss:  1179.0659334578927
loss:  1171.6808547186047
loss:  1112.0973070455511
loss:  1176.1613385733253
loss:  1172.5884845586345
