iter:  500.0 , lambda:  1 , alpha:  0.5555555555555556 , kernel: rbf method:  cobyla , catol:  0.0001 batches:  100
x_init:  [0.00075986 0.00071834 0.00033083 ... 0.00029443 0.00019955 0.00077006]
loss:  1097.6289466149067
loss:  1168.8813887446133
loss:  1167.271755966669
loss:  1171.3498358475517
loss:  1159.060257040005
loss:  1165.2416190704635
loss:  1176.2875763585416
loss:  1177.5361265233628
loss:  1137.2651267864755
loss:  1098.7351921288239
loss:  1175.9809450230916
loss:  1099.0473322176379
loss:  1177.226106918685
loss:  1160.3477565554542
loss:  1152.512788914857
loss:  1170.7975277710775
loss:  1142.632430068827
loss:  1177.0657969037568
loss:  1172.9537927231802
loss:  1178.466203280344
loss:  1173.3753536108804
loss:  1175.937369470433
loss:  1100.2817452648967
loss:  1097.2367571191285
loss:  1174.0408267052633
loss:  1176.222180978164
loss:  1137.6069695167616
loss:  1170.2072057396865
loss:  1136.7727027374901
loss:  1175.9190317918546
loss:  1158.1540392214038
loss:  1160.7429274414837
loss:  1169.4613667268443
loss:  1164.1952173086502
loss:  1158.0278466016798
loss:  1108.0372715534652
loss:  1098.6286828658758
loss:  1164.98107759307
loss:  1127.902356837677
loss:  1174.3948536143237
loss:  1105.9416548163472
loss:  1175.4308876131888
loss:  1151.4793313456287
loss:  1160.9782753647091
loss:  1180.0185787671635
loss:  1176.1423438587121
loss:  1172.1290221689867
loss:  1163.4800846397936
loss:  1172.1882996387305
loss:  1148.7758009283714
loss:  1171.3050371046613
loss:  1176.567446425926
loss:  1171.9007196845557
loss:  1172.7182075850858
loss:  1149.4937713710817
loss:  1128.014472541019
loss:  1099.444955301679
loss:  1169.6235660649545
loss:  1174.843528989933
loss:  1177.5869291641266
loss:  1140.7266736111383
loss:  1102.4903448180967
loss:  1097.6260919249141
loss:  1169.8819582723324
loss:  1171.3434048224997
loss:  1136.084047214426
loss:  1098.0271786278047
loss:  1175.9999180362033
loss:  1176.1012063334038
loss:  1176.310484636887
loss:  1170.1908391140332
loss:  1176.0819464039314
loss:  1161.6128614538127
loss:  1170.6456570665473
loss:  1171.3433346447587
loss:  1174.5967110689066
loss:  1101.6848791822279
loss:  1149.3371368085488
loss:  1178.1919253437782
loss:  1169.548744055794
loss:  1175.3831090902513
loss:  1173.3620022960201
loss:  1145.8021700173867
loss:  1107.8078998688482
loss:  1176.0517509398398
loss:  1176.1665538257453
loss:  1099.1012241004626
loss:  1174.830256526578
loss:  1175.0698330554892
loss:  1173.8734070841444
loss:  1169.1047501579562
loss:  1176.14196932235
loss:  1142.8685486522486
loss:  1148.609381757256
loss:  1176.9196876800315
loss:  1145.8117578229871
loss:  1171.4363314857542
loss:  1171.6102106298247
loss:  1175.104514824546
loss:  1175.7491882596244
loss:  1176.1115473201253
loss:  1159.5558508392824
loss:  1175.4805379724319
loss:  1127.7271394175395
loss:  1165.4981872419762
loss:  1176.1644833335538
loss:  1150.0825312451677
loss:  1176.132722704223
loss:  1175.889704346592
loss:  1179.4522197518722
loss:  1169.703593327094
loss:  1174.284948920981
loss:  1108.0198315093505
loss:  1171.287841291798
loss:  1170.0246907599908
loss:  1168.8042748783228
loss:  1175.2449648695454
loss:  1175.3989032299942
loss:  1168.4535659232067
loss:  1176.0443444172975
loss:  1165.551599922375
loss:  1163.6286324852988
loss:  1168.5345893586139
loss:  1137.2775928174945
loss:  1145.4997824336892
loss:  1174.2328664490733
